game_id,date,arena,game_state,away_team,home_team,away_score,home_score,overtime
2023020001,2023-10-10,Amalie Arena,OFF,NSH,TBL,3,5,
2023020002,2023-10-10,PPG Paints Arena,OFF,CHI,PIT,4,2,
2023020003,2023-10-10,T-Mobile Arena,OFF,SEA,VGK,1,4,
2023020004,2023-10-11,PNC Arena,OFF,OTT,CAR,3,5,
2023020005,2023-10-11,Scotiabank Arena,OFF,MTL,TOR,5,6,SO
2023020006,2023-10-11,TD Garden,OFF,CHI,BOS,1,3,
2023020007,2023-10-11,Scotiabank Saddledome,OFF,WPG,CGY,3,5,
2023020008,2023-10-11,Crypto.com Arena,OFF,COL,LAK,5,2,
2023020009,2023-10-11,Rogers Arena,OFF,EDM,VAN,1,8,
2023020010,2023-10-12,KeyBank Center,OFF,NYR,BUF,5,1,
2023020011,2023-10-12,Nationwide Arena,OFF,PHI,CBJ,4,2,
2023020012,2023-10-12,Prudential Center,OFF,DET,NJD,3,4,
2023020013,2023-10-12,American Airlines Center,OFF,STL,DAL,1,2,SO
2023020014,2023-10-12,Xcel Energy Center,OFF,FLA,MIN,0,2,
2023020015,2023-10-12,Bridgestone Arena,OFF,SEA,NSH,0,3,
2023020016,2023-10-12,SAP Center at San Jose,OFF,VGK,SJS,4,1,
2023020017,2023-10-13,Prudential Center,OFF,ARI,NJD,4,3,SO
2023020018,2023-10-13,Capital One Arena,OFF,PIT,WSH,4,0,
2023020019,2023-10-14,Canadian Tire Centre,OFF,PHI,OTT,2,5,
2023020020,2023-10-14,Canada Life Centre,OFF,FLA,WPG,4,6,
2023020021,2023-10-14,TD Garden,OFF,NSH,BOS,2,3,
2023020022,2023-10-14,Nationwide Arena,OFF,NYR,CBJ,3,5,
2023020023,2023-10-14,Little Caesars Arena,OFF,TBL,DET,4,6,
2023020024,2023-10-14,Centre Bell,OFF,CHI,MTL,2,3,
2023020025,2023-10-14,PPG Paints Arena,OFF,CGY,PIT,2,5,
2023020026,2023-10-14,Scotiabank Arena,OFF,MIN,TOR,4,7,
2023020027,2023-10-14,UBS Arena,OFF,BUF,NYI,2,3,
2023020028,2023-10-14,Enterprise Center,OFF,SEA,STL,1,2,SO
2023020029,2023-10-14,Rogers Place,OFF,VAN,EDM,4,3,
2023020030,2023-10-14,SAP Center at San Jose,OFF,COL,SJS,2,1,SO
2023020031,2023-10-14,T-Mobile Arena,OFF,ANA,VGK,1,4,
2023020032,2023-10-14,Crypto.com Arena,OFF,CAR,LAK,6,5,SO
2023020033,2023-10-15,Canadian Tire Centre,OFF,TBL,OTT,2,5,
2023020034,2023-10-15,Honda Center,OFF,CAR,ANA,3,6,
2023020035,2023-10-16,Nationwide Arena,OFF,DET,CBJ,4,0,
2023020036,2023-10-16,Prudential Center,OFF,FLA,NJD,4,3,
2023020037,2023-10-16,Madison Square Garden,OFF,ARI,NYR,1,2,
2023020038,2023-10-16,Scotiabank Arena,OFF,CHI,TOR,4,1,
2023020039,2023-10-16,Capital One Arena,OFF,CGY,WSH,2,3,SO
2023020042,2023-10-17,Wells Fargo Center,OFF,VAN,PHI,0,2,
2023020041,2023-10-17,Centre Bell,OFF,MIN,MTL,5,2,
2023020040,2023-10-17,KeyBank Center,OFF,TBL,BUF,2,3,OT
2023020043,2023-10-17,UBS Arena,OFF,ARI,NYI,0,1,
2023020044,2023-10-17,Bridgestone Arena,OFF,EDM,NSH,6,1,
2023020045,2023-10-17,Canada Life Centre,OFF,LAK,WPG,5,1,
2023020046,2023-10-17,Climate Pledge Arena,OFF,COL,SEA,4,1,
2023020047,2023-10-17,SAP Center at San Jose,OFF,CAR,SJS,6,3,
2023020048,2023-10-17,T-Mobile Arena,OFF,DAL,VGK,2,3,SO
2023020049,2023-10-18,Canadian Tire Centre,OFF,WSH,OTT,1,6,
2023020050,2023-10-18,Little Caesars Arena,OFF,PIT,DET,3,6,
2023020051,2023-10-19,KeyBank Center,OFF,CGY,BUF,4,3,
2023020052,2023-10-19,Amerant Bank Arena,OFF,TOR,FLA,1,3,
2023020053,2023-10-19,Madison Square Garden,OFF,NSH,NYR,4,1,
2023020055,2023-10-19,Amalie Arena,OFF,VAN,TBL,3,4,
2023020054,2023-10-19,Wells Fargo Center,OFF,EDM,PHI,1,4,
2023020056,2023-10-19,Xcel Energy Center,OFF,LAK,MIN,7,3,
2023020057,2023-10-19,Enterprise Center,OFF,ARI,STL,6,2,
2023020058,2023-10-19,Canada Life Centre,OFF,VGK,WPG,5,3,
2023020059,2023-10-19,Honda Center,OFF,DAL,ANA,3,2,
2023020060,2023-10-19,Climate Pledge Arena,OFF,CAR,SEA,4,7,
2023020061,2023-10-19,Ball Arena,OFF,CHI,COL,0,4,
2023020062,2023-10-19,SAP Center at San Jose,OFF,BOS,SJS,3,1,
2023020063,2023-10-20,Nationwide Arena,OFF,CGY,CBJ,1,3,
2023020064,2023-10-20,UBS Arena,OFF,NJD,NYI,5,4,OT
2023020065,2023-10-21,Canadian Tire Centre,OFF,DET,OTT,5,2,
2023020066,2023-10-21,Mullett Arena,OFF,ANA,ARI,1,2,
2023020067,2023-10-21,KeyBank Center,OFF,NYI,BUF,1,3,
2023020068,2023-10-21,Amerant Bank Arena,OFF,VAN,FLA,5,3,
2023020069,2023-10-21,Centre Bell,OFF,WSH,MTL,2,3,OT
2023020070,2023-10-21,Amalie Arena,OFF,TOR,TBL,4,3,OT
2023020071,2023-10-21,United Center,OFF,VGK,CHI,5,3,
2023020072,2023-10-21,American Airlines Center,OFF,PHI,DAL,4,5,OT
2023020073,2023-10-21,Xcel Energy Center,OFF,CBJ,MIN,5,4,OT
2023020074,2023-10-21,Bridgestone Arena,OFF,SJS,NSH,1,5,
2023020075,2023-10-21,Enterprise Center,OFF,PIT,STL,2,4,
2023020076,2023-10-21,Ball Arena,OFF,CAR,COL,4,6,
2023020077,2023-10-21,Rogers Place,OFF,WPG,EDM,3,2,OT
2023020078,2023-10-21,Climate Pledge Arena,OFF,NYR,SEA,4,1,
2023020079,2023-10-21,Crypto.com Arena,OFF,BOS,LAK,4,2,
2023020080,2023-10-22,Little Caesars Arena,OFF,CGY,DET,2,6,
2023020081,2023-10-22,Honda Center,OFF,BOS,ANA,3,1,
2023020082,2023-10-23,KeyBank Center,OFF,MTL,BUF,3,1,
2023020083,2023-10-24,Capital One Arena,OFF,TOR,WSH,4,1,
2023020085,2023-10-24,Canadian Tire Centre,OFF,BUF,OTT,6,4,
2023020086,2023-10-24,Amalie Arena,OFF,CAR,TBL,0,3,
2023020087,2023-10-24,Centre Bell,OFF,NJD,MTL,5,2,
2023020088,2023-10-24,PPG Paints Arena,OFF,DAL,PIT,4,1,
2023020089,2023-10-24,Amerant Bank Arena,OFF,SJS,FLA,1,3,
2023020090,2023-10-24,UBS Arena,OFF,COL,NYI,7,4,
2023020091,2023-10-24,Little Caesars Arena,OFF,SEA,DET,5,4,OT
2023020084,2023-10-24,Nationwide Arena,OFF,ANA,CBJ,3,2,OT
2023020092,2023-10-24,United Center,OFF,BOS,CHI,3,0,
2023020093,2023-10-24,Canada Life Centre,OFF,STL,WPG,2,4,
2023020094,2023-10-24,Xcel Energy Center,OFF,EDM,MIN,4,7,
2023020095,2023-10-24,Bridgestone Arena,OFF,VAN,NSH,3,2,
2023020096,2023-10-24,Scotiabank Saddledome,OFF,NYR,CGY,3,1,
2023020097,2023-10-24,Crypto.com Arena,OFF,ARI,LAK,3,6,
2023020098,2023-10-24,T-Mobile Arena,OFF,PHI,VGK,2,3,
2023020099,2023-10-25,Prudential Center,OFF,WSH,NJD,6,4,
2023020100,2023-10-26,TD Garden,OFF,ANA,BOS,4,3,OT
2023020101,2023-10-26,PNC Arena,OFF,SEA,CAR,2,3,OT
2023020102,2023-10-26,Little Caesars Arena,OFF,WPG,DET,4,1,
2023020103,2023-10-26,Centre Bell,OFF,CBJ,MTL,3,4,OT
2023020105,2023-10-26,PPG Paints Arena,OFF,COL,PIT,0,4,
2023020106,2023-10-26,Amalie Arena,OFF,SJS,TBL,0,6,
2023020104,2023-10-26,Wells Fargo Center,OFF,MIN,PHI,2,6,
2023020107,2023-10-26,UBS Arena,OFF,OTT,NYI,2,3,
2023020108,2023-10-26,American Airlines Center,OFF,TOR,DAL,4,1,
2023020109,2023-10-26,Scotiabank Saddledome,OFF,STL,CGY,3,0,
2023020110,2023-10-26,Rogers Place,OFF,NYR,EDM,3,0,
2023020111,2023-10-27,T-Mobile Arena,OFF,CHI,VGK,4,3,OT
2023020112,2023-10-27,PNC Arena,OFF,SJS,CAR,0,3,
2023020113,2023-10-27,Prudential Center,OFF,BUF,NJD,4,5,
2023020114,2023-10-27,Capital One Arena,OFF,MIN,WSH,2,3,SO
2023020115,2023-10-27,Mullett Arena,OFF,LAK,ARI,5,4,
2023020116,2023-10-27,Rogers Arena,OFF,STL,VAN,0,5,
2023020117,2023-10-28,Wells Fargo Center,OFF,ANA,PHI,7,4,
2023020118,2023-10-28,Amerant Bank Arena,OFF,SEA,FLA,2,3,
2023020119,2023-10-28,TD Garden,OFF,DET,BOS,1,4,
2023020120,2023-10-28,Nationwide Arena,OFF,NYI,CBJ,2,0,
2023020121,2023-10-28,Centre Bell,OFF,WPG,MTL,3,4,SO
2023020122,2023-10-28,Bridgestone Arena,OFF,TOR,NSH,2,3,OT
2023020123,2023-10-28,PPG Paints Arena,OFF,OTT,PIT,5,2,
2023020124,2023-10-28,Rogers Arena,OFF,NYR,VAN,4,3,OT
2023020125,2023-10-28,Crypto.com Arena,OFF,VGK,LAK,4,3,SO
2023020126,2023-10-29,KeyBank Center,OFF,COL,BUF,0,4,
2023020127,2023-10-29,Prudential Center,OFF,MIN,NJD,3,4,
2023020128,2023-10-29,Capital One Arena,OFF,SJS,WSH,1,3,
2023020129,2023-10-29,"Commonwealth Stadium, Edmonton",OFF,CGY,EDM,2,5,
2023020130,2023-10-30,TD Garden,OFF,FLA,BOS,2,3,OT
2023020131,2023-10-30,Wells Fargo Center,OFF,CAR,PHI,3,2,
2023020132,2023-10-30,PPG Paints Arena,OFF,ANA,PIT,4,3,
2023020133,2023-10-30,Amalie Arena,OFF,SEA,TBL,4,3,OT
2023020134,2023-10-30,UBS Arena,OFF,DET,NYI,4,3,OT
2023020135,2023-10-30,Canada Life Centre,OFF,NYR,WPG,3,2,OT
2023020136,2023-10-30,American Airlines Center,OFF,CBJ,DAL,3,5,
2023020137,2023-10-30,Mullett Arena,OFF,CHI,ARI,1,8,
2023020138,2023-10-30,T-Mobile Arena,OFF,MTL,VGK,2,3,SO
2023020139,2023-10-31,Scotiabank Arena,OFF,LAK,TOR,4,1,
2023020140,2023-10-31,Rogers Arena,OFF,NSH,VAN,2,5,
2023020141,2023-11-01,Wells Fargo Center,OFF,BUF,PHI,5,2,
2023020142,2023-11-01,Scotiabank Saddledome,OFF,DAL,CGY,4,3,
2023020143,2023-11-01,Ball Arena,OFF,STL,COL,1,4,
2023020144,2023-11-01,Honda Center,OFF,ARI,ANA,3,4,OT
2023020146,2023-11-02,Nationwide Arena,OFF,TBL,CBJ,2,4,
2023020147,2023-11-02,Little Caesars Arena,OFF,FLA,DET,2,0,
2023020148,2023-11-02,Madison Square Garden,OFF,CAR,NYR,1,2,
2023020149,2023-11-02,Canadian Tire Centre,OFF,LAK,OTT,3,2,
2023020150,2023-11-02,Capital One Arena,OFF,NYI,WSH,3,0,
2023020145,2023-11-02,TD Garden,OFF,TOR,BOS,2,3,SO
2023020151,2023-11-02,Xcel Energy Center,OFF,NJD,MIN,5,3,
2023020152,2023-11-02,Rogers Place,OFF,DAL,EDM,4,3,
2023020153,2023-11-02,Mullett Arena,OFF,MTL,ARI,2,3,
2023020154,2023-11-02,Climate Pledge Arena,OFF,NSH,SEA,2,4,
2023020155,2023-11-02,T-Mobile Arena,OFF,WPG,VGK,2,5,
2023020156,2023-11-02,SAP Center at San Jose,OFF,VAN,SJS,10,1,
2023020157,2023-11-03,KeyBank Center,OFF,PHI,BUF,5,1,
2023020158,2023-11-03,Enterprise Center,OFF,NJD,STL,1,4,
2023020159,2023-11-04,Rogers Place,OFF,NSH,EDM,5,2,
2023020160,2023-11-04,Mullett Arena,OFF,WPG,ARI,5,3,
2023020161,2023-11-04,Little Caesars Arena,OFF,BOS,DET,4,5,
2023020162,2023-11-04,Canadian Tire Centre,OFF,TBL,OTT,6,4,
2023020164,2023-11-04,Enterprise Center,OFF,MTL,STL,3,6,
2023020165,2023-11-04,Scotiabank Arena,OFF,BUF,TOR,6,4,
2023020166,2023-11-04,Capital One Arena,OFF,CBJ,WSH,1,2,
2023020163,2023-11-04,Wells Fargo Center,OFF,LAK,PHI,5,0,
2023020167,2023-11-04,UBS Arena,OFF,CAR,NYI,4,3,OT
2023020168,2023-11-04,United Center,OFF,FLA,CHI,2,5,
2023020169,2023-11-04,Xcel Energy Center,OFF,NYR,MIN,4,5,SO
2023020170,2023-11-04,Climate Pledge Arena,OFF,CGY,SEA,6,3,
2023020171,2023-11-04,SAP Center at San Jose,OFF,PIT,SJS,10,2,
2023020172,2023-11-04,Rogers Arena,OFF,DAL,VAN,0,2,
2023020173,2023-11-04,T-Mobile Arena,OFF,COL,VGK,0,7,
2023020174,2023-11-05,United Center,OFF,NJD,CHI,4,2,
2023020175,2023-11-05,Honda Center,OFF,VGK,ANA,2,4,
2023020176,2023-11-06,Amerant Bank Arena,OFF,CBJ,FLA,4,5,OT
2023020177,2023-11-06,Scotiabank Arena,OFF,TBL,TOR,5,6,OT
2023020178,2023-11-06,American Airlines Center,OFF,BOS,DAL,3,2,
2023020179,2023-11-06,Rogers Arena,OFF,EDM,VAN,2,6,
2023020180,2023-11-07,PNC Arena,OFF,BUF,CAR,2,3,OT
2023020181,2023-11-07,Centre Bell,OFF,TBL,MTL,5,3,
2023020182,2023-11-07,UBS Arena,OFF,MIN,NYI,4,2,
2023020183,2023-11-07,Madison Square Garden,OFF,DET,NYR,3,5,
2023020184,2023-11-07,Enterprise Center,OFF,WPG,STL,5,2,
2023020185,2023-11-07,Mullett Arena,OFF,SEA,ARI,3,4,SO
2023020186,2023-11-07,Scotiabank Saddledome,OFF,NSH,CGY,2,4,
2023020187,2023-11-07,Honda Center,OFF,PIT,ANA,2,0,
2023020188,2023-11-07,Ball Arena,OFF,NJD,COL,3,6,
2023020189,2023-11-07,SAP Center at San Jose,OFF,PHI,SJS,1,2,
2023020190,2023-11-08,Scotiabank Arena,OFF,OTT,TOR,6,3,
2023020191,2023-11-08,Capital One Arena,OFF,FLA,WSH,4,3,OT
2023020192,2023-11-08,T-Mobile Arena,OFF,LAK,VGK,4,1,
2023020193,2023-11-09,TD Garden,OFF,NYI,BOS,2,5,
2023020195,2023-11-09,Little Caesars Arena,OFF,MTL,DET,3,2,OT
2023020196,2023-11-09,Madison Square Garden,OFF,MIN,NYR,1,4,
2023020197,2023-11-09,Canadian Tire Centre,OFF,VAN,OTT,5,2,
2023020198,2023-11-09,Amalie Arena,OFF,CHI,TBL,5,3,
2023020194,2023-11-09,Nationwide Arena,OFF,DAL,CBJ,5,2,
2023020199,2023-11-09,Enterprise Center,OFF,ARI,STL,1,2,
2023020200,2023-11-09,Canada Life Centre,OFF,NSH,WPG,3,6,
2023020201,2023-11-09,Ball Arena,OFF,SEA,COL,4,3,
2023020202,2023-11-09,Crypto.com Arena,OFF,PIT,LAK,4,3,OT
2023020203,2023-11-09,SAP Center at San Jose,OFF,EDM,SJS,2,3,
2023020204,2023-11-10,KeyBank Center,OFF,MIN,BUF,2,3,
2023020205,2023-11-10,Amerant Bank Arena,OFF,CAR,FLA,2,5,
2023020206,2023-11-10,Prudential Center,OFF,WSH,NJD,4,2,
2023020207,2023-11-10,Scotiabank Arena,OFF,CGY,TOR,4,5,SO
2023020208,2023-11-10,Honda Center,OFF,PHI,ANA,6,3,
2023020209,2023-11-10,T-Mobile Arena,OFF,SJS,VGK,0,5,
2023020210,2023-11-11,Little Caesars Arena,OFF,CBJ,DET,4,5,
2023020211,2023-11-11,Canada Life Centre,OFF,DAL,WPG,3,2,
2023020212,2023-11-11,Centre Bell,OFF,BOS,MTL,2,3,OT
2023020213,2023-11-11,Canadian Tire Centre,OFF,CGY,OTT,1,4,
2023020214,2023-11-11,Amalie Arena,OFF,CAR,TBL,4,0,
2023020215,2023-11-11,Scotiabank Arena,OFF,VAN,TOR,2,5,
2023020216,2023-11-11,UBS Arena,OFF,WSH,NYI,4,1,
2023020217,2023-11-11,PPG Paints Arena,OFF,BUF,PIT,0,4,
2023020218,2023-11-11,Bridgestone Arena,OFF,ARI,NSH,7,5,
2023020219,2023-11-11,Ball Arena,OFF,STL,COL,8,2,
2023020220,2023-11-11,Climate Pledge Arena,OFF,EDM,SEA,4,1,
2023020221,2023-11-11,Crypto.com Arena,OFF,PHI,LAK,4,2,
2023020222,2023-11-12,Amerant Bank Arena,OFF,CHI,FLA,3,4,
2023020223,2023-11-12,Xcel Energy Center,OFF,DAL,MIN,8,3,
2023020224,2023-11-12,Centre Bell,OFF,VAN,MTL,5,2,
2023020225,2023-11-12,Madison Square Garden,OFF,CBJ,NYR,3,4,SO
2023020226,2023-11-12,Honda Center,OFF,SJS,ANA,1,4,
2023020227,2023-11-13,Rogers Place,OFF,NYI,EDM,1,4,
2023020228,2023-11-13,Climate Pledge Arena,OFF,COL,SEA,5,1,
2023020229,2023-11-14,KeyBank Center,OFF,BOS,BUF,5,2,
2023020230,2023-11-14,Nationwide Arena,OFF,PIT,CBJ,5,3,
2023020231,2023-11-14,Centre Bell,OFF,CGY,MTL,2,1,
2023020232,2023-11-14,Capital One Arena,OFF,VGK,WSH,0,3,
2023020233,2023-11-14,American Airlines Center,OFF,ARI,DAL,3,4,OT
2023020234,2023-11-14,Bridgestone Arena,OFF,ANA,NSH,3,2,
2023020235,2023-11-14,Enterprise Center,OFF,TBL,STL,0,5,
2023020236,2023-11-14,Canada Life Centre,OFF,NJD,WPG,3,6,
2023020237,2023-11-14,SAP Center at San Jose,OFF,FLA,SJS,5,3,
2023020238,2023-11-15,PNC Arena,OFF,PHI,CAR,3,1,
2023020239,2023-11-15,Rogers Place,OFF,SEA,EDM,3,4,OT
2023020240,2023-11-15,Ball Arena,OFF,ANA,COL,2,8,
2023020241,2023-11-15,Rogers Arena,OFF,NYI,VAN,3,4,OT
2023020242,2023-11-16,Avicii Arena,OFF,DET,OTT,4,5,OT
2023020243,2023-11-16,Nationwide Arena,OFF,ARI,CBJ,3,2,
2023020244,2023-11-16,Centre Bell,OFF,VGK,MTL,6,5,
2023020245,2023-11-16,PPG Paints Arena,OFF,NJD,PIT,5,2,
2023020246,2023-11-16,United Center,OFF,TBL,CHI,4,2,
2023020247,2023-11-16,Scotiabank Saddledome,OFF,VAN,CGY,2,5,
2023020248,2023-11-16,Climate Pledge Arena,OFF,NYI,SEA,3,4,SO
2023020249,2023-11-16,Crypto.com Arena,OFF,FLA,LAK,1,2,
2023020250,2023-11-16,SAP Center at San Jose,OFF,STL,SJS,1,5,
2023020251,2023-11-17,Avicii Arena,OFF,TOR,DET,3,2,
2023020252,2023-11-17,Canada Life Centre,OFF,BUF,WPG,2,3,
2023020253,2023-11-17,Honda Center,OFF,FLA,ANA,2,1,
2023020254,2023-11-18,Avicii Arena,OFF,MIN,OTT,1,2,SO
2023020255,2023-11-18,Wells Fargo Center,OFF,VGK,PHI,3,4,OT
2023020256,2023-11-18,Bridgestone Arena,OFF,CHI,NSH,2,4,
2023020257,2023-11-18,Amalie Arena,OFF,EDM,TBL,4,6,
2023020258,2023-11-18,TD Garden,OFF,MTL,BOS,2,5,
2023020259,2023-11-18,PNC Arena,OFF,PIT,CAR,2,4,
2023020260,2023-11-18,Scotiabank Saddledome,OFF,NYI,CGY,5,4,SO
2023020261,2023-11-18,Prudential Center,OFF,NYR,NJD,5,3,
